aspect_ratio,extent,solidity,defect_count,hu0,hu1,hu2,hu3,hu4,hu5,hu6,cx_norm,cy_norm,label
0.984251968503937,0.6285984251968504,0.9399962321024868,0.0,-0.75969633440014,-2.4410416909029897,-3.5398218046080157,-5.141136682343023,9.433973677908243,6.472165176032828,-9.534380183828018,0.5277572235026883,0.4567556435443564,0
1.6491228070175439,0.5150475923852184,0.8089183643558552,0.0,-0.6453426947333681,-1.8559031038903804,-2.2813779900688833,-2.790863831616942,-5.330100312363065,-3.7442653483719806,-6.249433339123169,0.6178916988477144,0.4630902421005482,1
1.1770334928229664,0.35925039872408293,0.6024298760600131,0.0,-0.5661827795095183,-2.042037350679853,-1.7791086252381227,-2.5539151760228083,-5.894823784834497,4.422015692826258,4.721399506023288,0.3305942186137434,0.39433435107760745,2
0.556,0.48805755395683453,0.6074281007127252,1.0,-0.5628962724066684,-1.8125651412782384,-2.619195916618002,-3.041347646865403,-5.982301383464697,-4.133876260924478,-6.070839940492491,0.5062347291977735,0.48774740566037733,3
0.5671641791044776,0.6213013877978528,0.7121454654594568,1.0,-0.5826456685707688,-1.6562841758630427,-3.9701920946027087,-3.1012024027009204,-6.641667562646357,-3.929819441058222,-7.458848250901293,0.48431056979598797,0.5412152410660028,3
0.5572139303482587,0.6222903340440654,0.7122737441529388,1.0,-0.5785528288598314,-1.6386928227431774,-4.0880080314372815,-3.0761345248724647,-6.7161269054377435,-3.8957727926625134,-6.972338009468003,0.4765016069601512,0.5410153884727267,3
0.5522388059701493,0.6261933575366411,0.7159291808655103,1.0,-0.5792860583789491,-1.6357537287366526,-3.995787230874733,-3.0798744315782622,-6.661118280900798,-3.8981801306639072,-6.9872998211153465,0.48112682147468494,0.5428294786891539,3
0.6435643564356436,0.5731530845392232,0.6664895383593491,1.0,-0.5777327200003686,-1.7345437638994712,-2.873835895794081,-3.0907625218046917,-6.109153072429354,-4.033990896157207,6.480094010924723,0.450223854280063,0.5626106660895309,3
0.5544554455445545,0.6186129773691655,0.7142930053334013,1.0,-0.5772082957259397,-1.6231800456789172,-4.041743385041582,-3.0854007646570394,-6.689313209053802,-3.8970994647305868,-7.032833756175097,0.47718197260684087,0.5402226764779294,3
0.6305418719211823,0.578432881773399,0.6704583472733355,1.0,-0.5778434964039345,-1.729350255054572,-2.851570147334573,-3.0725090604944683,-6.077711073146887,-4.033937465135591,6.406250608820102,0.4416025587713457,0.5624884877207817,3
0.6150234741784038,0.5426298247500269,0.6534602188127144,1.0,-0.576836002333461,-1.716184187589668,-2.837569666783232,-3.1076613640064727,-6.120651869305308,-4.06113456963416,6.465066059567677,0.44578670421700134,0.5377464354628309,3
